DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))" 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))" 
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.053769886493682861" 
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.015266244299709797" 
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.033111993223428726" 
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.03585578128695488" 
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.056990727782249451" 
0, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.16572444140911102" 
0, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.17787130177021027" 
0, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.13594286143779755" 
0, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.18480485677719116" 
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.021507954224944115" 
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.0061064977198839188" 
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.013244797475636005" 
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.014342312701046467" 
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.02279629185795784" 
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.06628977507352829" 
0, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.071148522198200226" 
0, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.054377142339944839" 
0, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.073921941220760345" 
0, mujets, up, 1, -2.5, 2.5, 20, 30, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.053769886493682861" 
0, mujets, up, 1, -2.5, 2.5, 30, 50, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.015266244299709797" 
0, mujets, up, 1, -2.5, 2.5, 50, 70, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.033111993223428726" 
0, mujets, up, 1, -2.5, 2.5, 70, 100, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.03585578128695488" 
0, mujets, up, 1, -2.5, 2.5, 100, 140, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.056990727782249451" 
0, mujets, up, 1, -2.5, 2.5, 140, 200, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.16572444140911102" 
0, mujets, up, 1, -2.5, 2.5, 200, 300, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.17787130177021027" 
0, mujets, up, 1, -2.5, 2.5, 300, 600, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.13594286143779755" 
0, mujets, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.18480485677719116" 
0, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.021507954224944115" 
0, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.0061064977198839188" 
0, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.013244797475636005" 
0, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.014342312701046467" 
0, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.02279629185795784" 
0, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.06628977507352829" 
0, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.071148522198200226" 
0, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.054377142339944839" 
0, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.073921941220760345" 
1, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))" 
1, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))" 
1, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.091957375407218933" 
1, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.032607883214950562" 
1, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.072897948324680328" 
1, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.078558340668678284" 
1, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.14202827215194702" 
1, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.29153507947921753" 
1, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.31575104594230652" 
1, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.21768921613693237" 
1, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.22142305970191956" 
1, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.030652457848191261" 
1, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.010869294404983521" 
1, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.024299316108226776" 
1, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.026186112314462662" 
1, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.047342758625745773" 
1, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.097178362309932709" 
1, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.10525035113096237" 
1, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.07256307452917099" 
1, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.073807686567306519" 
1, mujets, up, 1, -2.5, 2.5, 20, 30, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.091957375407218933" 
1, mujets, up, 1, -2.5, 2.5, 30, 50, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.032607883214950562" 
1, mujets, up, 1, -2.5, 2.5, 50, 70, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.072897948324680328" 
1, mujets, up, 1, -2.5, 2.5, 70, 100, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.078558340668678284" 
1, mujets, up, 1, -2.5, 2.5, 100, 140, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.14202827215194702" 
1, mujets, up, 1, -2.5, 2.5, 140, 200, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.29153507947921753" 
1, mujets, up, 1, -2.5, 2.5, 200, 300, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.31575104594230652" 
1, mujets, up, 1, -2.5, 2.5, 300, 600, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.21768921613693237" 
1, mujets, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.22142305970191956" 
1, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.030652457848191261" 
1, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.010869294404983521" 
1, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.024299316108226776" 
1, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.026186112314462662" 
1, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.047342758625745773" 
1, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.097178362309932709" 
1, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.10525035113096237" 
1, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.07256307452917099" 
1, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))+0.073807686567306519" 
2, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))" 
2, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))" 
2, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.13225945830345154" 
2, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.049073703587055206" 
2, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.082863375544548035" 
2, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.075630530714988708" 
2, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.1840985119342804" 
2, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.3987579345703125" 
2, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.43613317608833313" 
2, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.22566531598567963" 
2, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.25857973098754883" 
2, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.037788417190313339" 
2, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.014021058566868305" 
2, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.023675249889492989" 
2, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.021608723327517509" 
2, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.052599575370550156" 
2, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.1139308363199234" 
2, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.12460947781801224" 
2, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.064475804567337036" 
2, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))-0.073879919946193695" 
2, mujets, up, 1, -2.5, 2.5, 20, 30, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.13225945830345154" 
2, mujets, up, 1, -2.5, 2.5, 30, 50, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.049073703587055206" 
2, mujets, up, 1, -2.5, 2.5, 50, 70, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.082863375544548035" 
2, mujets, up, 1, -2.5, 2.5, 70, 100, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.075630530714988708" 
2, mujets, up, 1, -2.5, 2.5, 100, 140, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.1840985119342804" 
2, mujets, up, 1, -2.5, 2.5, 140, 200, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.3987579345703125" 
2, mujets, up, 1, -2.5, 2.5, 200, 300, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.43613317608833313" 
2, mujets, up, 1, -2.5, 2.5, 300, 600, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.22566531598567963" 
2, mujets, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.25857973098754883" 
2, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.037788417190313339" 
2, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.014021058566868305" 
2, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.023675249889492989" 
2, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.021608723327517509" 
2, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.052599575370550156" 
2, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.1139308363199234" 
2, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.12460947781801224" 
2, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.064475804567337036" 
2, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.889184+1.03526e-05*log(x+19)*log(x+18)*(3- -30.3975*log(x+18))+0.073879919946193695" 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))-0.05296049639582634" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))-0.013621058315038681" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))-0.015553319826722145" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))-0.012797590345144272" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))-0.014703827910125256" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))-0.017590876668691635" 
